cookie,duration_sec,packet_count,byte_count,bytes_per_sec,packets_per_sec,avg_packet_size,switch,timestamp,collection_time,label
0x0,50.193,33266,1796656,35794.95148725918,662.7617396848167,54.00877773101665,s1,2025-03-12 10:33:29,1741755809.7795131,ATTACK
0x0,50.191,33265,1796538,35794.02681755693,662.768225379052,54.00685405080415,s1,2025-03-12 10:33:29,1741755809.7795131,ATTACK
0x0,50.183,18434,774652,15436.542255345435,367.33555188011877,42.02300097645655,s1,2025-03-12 10:33:29,1741755809.7795131,ATTACK
0x0,50.182,56,3988,79.47072655533856,1.1159379857319358,71.21428571428571,s1,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,50.171,3,238,4.743776285104941,0.05979549939207909,79.33333333333333,s1,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,50.169,2,140,2.790567880563695,0.03986525543662421,70.0,s1,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,50.162,3,238,4.74462740720067,0.05980622782185718,79.33333333333333,s1,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,50.161,2,140,2.79101293833855,0.03987161340483643,70.0,s1,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,55.307,47,3466,62.66837832462436,0.8498020142115826,73.74468085106383,s1,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,50.204,33265,1796538,35784.75818659868,662.5966058481396,54.00685405080415,s2,2025-03-12 10:33:29,1741755809.7795131,ATTACK
0x0,50.199,18434,774652,15431.622143867407,367.2184704874599,42.02300097645655,s2,2025-03-12 10:33:29,1741755809.7795131,ATTACK
0x0,50.195,56,3988,79.45014443669689,1.115648969020819,71.21428571428571,s2,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,50.187,3,238,4.742263932890988,0.059776436128878,79.33333333333333,s2,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,50.183,2,140,2.789789370902497,0.03985413387003567,70.0,s2,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,50.178,3,238,4.743114512336084,0.05978715771852206,79.33333333333333,s2,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,50.173,2,140,2.7903454048990493,0.03986207721284356,70.0,s2,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,50.162,3,238,4.74462740720067,0.05980622782185718,79.33333333333333,s2,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,50.161,2,140,2.79101293833855,0.03987161340483643,70.0,s2,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,55.321,47,3466,62.65251893494333,0.8495869561287758,73.74468085106383,s2,2025-03-12 10:33:29,1741755809.7795131,BENIGN
0x0,55.239,4,236,4.272343815058202,0.07241260703488478,59.0,s1,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,55.231,37518,2026252,36686.86063985805,679.2924263547645,54.00746308438616,s1,2025-03-12 10:33:34,1741755814.8215497,ATTACK
0x0,55.229,37517,2026134,36686.0526172844,679.2989190461533,54.00575738998321,s1,2025-03-12 10:33:34,1741755814.8215497,ATTACK
0x0,55.221,20763,872470,15799.605222650804,375.9982615309393,42.02042094109714,s1,2025-03-12 10:33:34,1741755814.8215497,ATTACK
0x0,55.22,61,4338,78.55849329952916,1.104672220210069,71.11475409836065,s1,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,55.209,3,238,4.310891340180043,0.054338966472857686,79.33333333333333,s1,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,55.207,2,140,2.5359103012299165,0.03622729001757023,70.0,s1,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,55.2,3,238,4.311594202898551,0.05434782608695652,79.33333333333333,s1,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,55.199,2,140,2.5362778311201293,0.036232540444573275,70.0,s1,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,60.345,47,3466,57.4364073245505,0.7788549175573785,73.74468085106383,s1,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,55.243,37517,2026134,36676.75542602682,679.1267671922234,54.00575738998321,s2,2025-03-12 10:33:34,1741755814.8215497,ATTACK
0x0,55.238,20763,872470,15794.742749556464,375.88254462507695,42.02042094109714,s2,2025-03-12 10:33:34,1741755814.8215497,ATTACK
0x0,55.235,61,4338,78.53715940979451,1.1043722277541415,71.11475409836065,s2,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,55.227,3,238,4.309486301989969,0.05432125590743658,79.33333333333333,s2,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,55.223,2,140,2.535175560907593,0.036216793727251326,70.0,s2,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,55.218,3,238,4.310188706581187,0.05433010974682168,79.33333333333333,s2,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,55.213,2,140,2.5356347237063734,0.03622335319580534,70.0,s2,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,55.202,3,238,4.311437991377124,0.05434585703416543,79.33333333333333,s2,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,55.201,2,140,2.5361859386605317,0.03623122769515045,70.0,s2,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,60.361,47,3466,57.42118255164759,0.7786484650685045,73.74468085106383,s2,2025-03-12 10:33:34,1741755814.8215497,BENIGN
0x0,60.284,4,236,3.9148032645478072,0.06635259770420011,59.0,s1,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,60.276,41623,2247922,37293.81511712787,690.5401818302474,54.006727049948346,s1,2025-03-12 10:33:39,1741755819.8602922,ATTACK
0x0,60.274,41621,2247750,37292.19895809138,690.5299133954938,54.00518968789794,s1,2025-03-12 10:33:39,1741755819.8602922,ATTACK
0x0,60.266,23052,968608,16072.213188198984,382.50423124149603,42.01839319798716,s1,2025-03-12 10:33:39,1741755819.8602922,ATTACK
0x0,60.265,66,4688,77.78976188500788,1.0951630299510495,71.03030303030303,s1,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,60.254,3,238,3.9499452318518276,0.049789225611577656,79.33333333333333,s1,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,60.252,2,140,2.323574321184359,0.03319391887406227,70.0,s1,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,60.245,3,238,3.950535314133953,0.04979666362353723,79.33333333333333,s1,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,60.244,2,140,2.3238828763030344,0.03319832680432906,70.0,s1,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,65.39,49,3606,55.1460467961462,0.7493500535250038,73.59183673469387,s1,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,60.312,41621,2247750,37268.70274572224,690.0948401644781,54.00518968789794,s2,2025-03-12 10:33:39,1741755819.8602922,ATTACK
0x0,60.307,23052,968608,16061.286417828776,382.2441839255808,42.01839319798716,s2,2025-03-12 10:33:39,1741755819.8602922,ATTACK
0x0,60.303,66,4688,77.74074258328774,1.094472911795433,71.03030303030303,s2,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,60.295,3,238,3.9472593084003647,0.049755369433618045,79.33333333333333,s2,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,60.291,2,140,2.322071287588529,0.03317244696555042,70.0,s2,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,60.286,3,238,3.9478485883953156,0.04976279733271406,79.33333333333333,s2,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,60.281,2,140,2.3224564954131486,0.03317794993447355,70.0,s2,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,60.27,3,238,3.948896631823461,0.04977600796416127,79.33333333333333,s2,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,60.269,2,140,2.32291891353764,0.03318455590768057,70.0,s2,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,65.429,50,3676,56.18303810237051,0.7641871341454095,73.52,s2,2025-03-12 10:33:39,1741755819.8602922,BENIGN
0x0,65.346,4,236,3.6115447005172463,0.06121262204266519,59.0,s1,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,65.338,45830,2475100,37881.4778536227,701.4294897303255,54.00610953523893,s1,2025-03-12 10:33:44,1741755824.9283724,ATTACK
0x0,65.336,45829,2474982,37880.83139463695,701.435655687523,54.0047131728818,s1,2025-03-12 10:33:44,1741755824.9283724,ATTACK
0x0,65.328,25365,1065754,16313.892970854762,388.2714915503306,42.0167159471713,s1,2025-03-12 10:33:44,1741755824.9283724,ATTACK
0x0,65.327,71,5038,77.11972078926019,1.086840050821253,70.95774647887323,s1,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,65.316,3,238,3.6438238716394142,0.04593055300385816,79.33333333333333,s1,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,65.314,2,140,2.143491441344888,0.03062130630492697,70.0,s1,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,65.307,3,238,3.64432602936898,0.04593688272313841,79.33333333333333,s1,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,65.306,2,140,2.1437540195387865,0.030625057421982668,70.0,s1,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,70.452,50,3676,52.17736898881508,0.7097030602395957,73.52,s1,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,65.353,45829,2474982,37870.977613881536,701.2531941915445,54.0047131728818,s2,2025-03-12 10:33:44,1741755824.9283724,ATTACK
0x0,65.348,25365,1065754,16308.900042847525,388.152659607027,42.0167159471713,s2,2025-03-12 10:33:44,1741755824.9283724,ATTACK
0x0,65.344,71,5038,77.09965719882469,1.0865572967678747,70.95774647887323,s2,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,65.336,3,238,3.642708460879148,0.045916493204359005,79.33333333333333,s2,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,65.332,2,140,2.1429008755280723,0.030612869650401033,70.0,s2,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,65.327,3,238,3.6432103112036374,0.04592281904878534,79.33333333333333,s2,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,65.322,2,140,2.1432289274670095,0.030617556106671565,70.0,s2,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,65.311,3,238,3.6441028310698043,0.04593406929919921,79.33333333333333,s2,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,65.31,2,140,2.1436227224008575,0.030623181748583677,70.0,s2,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,70.47,51,3746,53.157371931318295,0.7237122179650916,73.45098039215686,s2,2025-03-12 10:33:44,1741755824.9283724,BENIGN
0x0,70.389,4,236,3.3527966017417494,0.05682706104647033,59.0,s1,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,70.381,49960,2698120,38335.914522385305,709.8506699251218,54.00560448358687,s1,2025-03-12 10:33:49,1741755829.9713442,ATTACK
0x0,70.379,49959,2698002,38335.327299336444,709.8566333707497,54.00432354530715,s1,2025-03-12 10:33:49,1741755829.9713442,ATTACK
0x0,70.371,27660,1162144,16514.530133151442,393.059641045317,42.01532899493854,s1,2025-03-12 10:33:49,1741755829.9713442,ATTACK
0x0,70.37,76,5388,76.56671877220406,1.0800056842404433,70.89473684210526,s1,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,70.359,3,238,3.3826518284796547,0.04263846842621413,79.33333333333333,s1,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,70.357,2,140,1.9898517560441746,0.028426453657773923,70.0,s1,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,70.35,3,238,3.383084577114428,0.04264392324093817,79.33333333333333,s1,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,70.349,2,140,1.9900780394888342,0.028429686278411918,70.0,s1,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,75.495,51,3746,49.61918007815087,0.675541426584542,73.45098039215686,s1,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,70.393,49959,2698002,38327.703038654414,709.7154546616852,54.00432354530715,s2,2025-03-12 10:33:49,1741755829.9713442,ATTACK
0x0,70.388,27660,1162144,16510.541569585723,392.9647098937319,42.01532899493854,s2,2025-03-12 10:33:49,1741755829.9713442,ATTACK
0x0,70.384,76,5388,76.551488974767,1.0797908615594454,70.89473684210526,s2,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,70.376,3,238,3.381834716380584,0.04262816869387291,79.33333333333333,s2,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,70.372,2,140,1.989427613255272,0.028420394475075314,70.0,s2,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,70.367,3,238,3.3822672559580482,0.04263362087342078,79.33333333333333,s2,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,70.362,2,140,1.9897103550211763,0.028424433643159663,70.0,s2,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,70.351,3,238,3.383036488464983,0.042643317081491376,79.33333333333333,s2,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,70.35,2,140,1.9900497512437814,0.028429282160625447,70.0,s2,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,75.51,51,3746,49.609323268441265,0.6754072308303536,73.45098039215686,s2,2025-03-12 10:33:49,1741755829.9713442,BENIGN
0x0,75.427,4,236,3.1288530632266958,0.05303140785129993,59.0,s1,2025-03-12 10:33:55,1741755835.008347,BENIGN
0x0,75.419,54213,2927782,38820.21771702091,718.8241689759875,54.00516481286776,s1,2025-03-12 10:33:55,1741755835.008347,ATTACK
0x0,75.417,54212,2927664,38819.682564938936,718.829972022223,54.003984357706784,s1,2025-03-12 10:33:55,1741755835.008347,ATTACK
0x0,75.409,29987,1259878,16707.263058786084,397.65810447028866,42.01413946043285,s1,2025-03-12 10:33:55,1741755835.008347,ATTACK
0x0,75.408,81,5738,76.09272225758541,1.0741565881604074,70.8395061728395,s1,2025-03-12 10:33:55,1741755835.008347,BENIGN
0x0,75.397,3,238,3.156624268870114,0.03978938154037959,79.33333333333333,s1,2025-03-12 10:33:55,1741755835.008347,BENIGN
0x0,75.395,2,140,1.8568870614762254,0.026526958021088932,70.0,s1,2025-03-12 10:33:55,1741755835.008347,BENIGN
0x0,75.388,3,238,3.1570011142356873,0.03979413169204648,79.33333333333333,s1,2025-03-12 10:33:55,1741755835.008347,BENIGN
